store_id,dept_id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
CA_1,HOBBIES_1,475.41266200121055,410.5507236874452,434.16009438101224,429.9229806904018,524.704490349496,589.7861389169781,572.322990399008,501.85353934576887,510.51392986675967,499.5916196592412,452.375130608373,531.1596892790507,564.6724509082086,517.6231729156232,534.0770910684823,446.7367284211642,475.43031580829154,504.1170151251604,530.4204816581948,603.763589280751,571.3395647277601,473.5442254724946,439.67578504387114,442.351861505857,439.2714865627617,502.6792368222885,584.9583571263344,549.9040166344654
CA_1,HOBBIES_2,42.838119994615504,47.66923659751616,40.53303230855508,47.7951777450423,45.293419967520144,50.04531514012235,50.48743838197042,47.54209926313968,49.1387885307023,47.28851883173674,48.75324643846986,48.08562790441411,49.67280539768787,49.73447295312518,49.42358633952428,49.73447295312518,49.47373783397275,49.68405715166346,49.251511158304965,49.98187556884631,49.73447295312518,46.736589129557125,50.424337190923936,48.66557191690956,50.65185574950528,50.424337190923936,50.2077529974976,50.2077529974976
CA_1,HOUSEHOLD_1,748.3512987044568,603.2441898551643,615.9619905998969,621.5563817826799,691.1850557384466,974.4098891370529,1063.9147954948603,761.3445938130003,689.0740509194579,664.8628884638938,637.4136447988398,720.2323912634289,982.4448881041945,922.2417253255184,765.5814889162959,673.1128451613612,645.1156689596863,633.5192141355654,748.2631199841015,982.4222815547613,964.1804067151015,759.0218877912329,665.2036218459182,647.1889418912365,657.3992091231293,720.5423695661269,968.140500819648,985.7882149314117
CA_1,HOUSEHOLD_2,232.350735458319,193.6210528034839,205.41361972361366,217.94354565691387,245.5123402965107,299.3893750401507,299.4200899711737,236.29811373181334,212.7673124326728,210.69693017217062,209.8098603604046,244.900510742543,289.1857414938019,297.6458351725641,240.00856309200998,220.27361154996333,218.2131587218071,218.73277173238975,245.79716907592857,307.7047357444025,307.02660547186827,243.98958663007946,213.57391581648923,225.50890673580565,232.7115140800619,248.8695232499794,308.77022553898894,307.74402171609955
CA_1,FOODS_1,298.491172212263,294.50403053968876,341.19573797864655,328.2422096509218,338.52010963686433,420.20782920276343,351.3292976288719,294.5051652810425,313.769947346041,316.3084239405005,324.86369878115835,357.707526184562,424.851128916468,335.50609360576806,302.13358449224256,317.67537076769156,306.9714593960366,305.3940123576368,375.4436611200223,414.4520744965036,353.8704215329594,304.85351738794543,314.0464349050225,339.9376527566751,321.4048344774864,345.8783108997807,401.48277365685175,345.17404791066076
CA_1,FOODS_2,497.53406629345903,484.8690197812652,435.1130979543068,433.62867124815955,450.8793373814331,614.318007922737,683.4109908908196,544.0603963762812,507.6068986514844,500.98043133964234,478.83344639380715,533.3413884189875,636.1345555408822,591.2863701689247,579.1783705399343,573.9988601024926,502.44815255001487,501.79107820761476,557.7386980073521,609.2662278059275,667.0146696243096,565.6664164220941,519.4862872357005,470.3882682210023,465.99226833457885,490.0772797228126,597.0940352686544,662.5358646447115
CA_1,FOODS_3,2255.6788764992893,1922.1877486051785,2003.8772401360065,1891.6415882709518,2211.6085363389725,2875.7247039355398,2971.0285203690905,2374.0500532082597,2166.154056590551,2160.771450330182,2080.6498310683996,2386.172817773834,2915.4908476794812,3125.5473152880277,2449.679556991934,2059.021854770934,2059.021854770934,2033.428069014183,2396.2557370329882,2894.3206803173643,3260.9512953179155,2393.4961437492566,2025.4942230688184,2025.4942230688184,2030.1491921005388,2245.2129047369926,2946.8159574627716,3043.6474060139208
CA_2,HOBBIES_1,328.0131305992771,335.6357277646141,336.96876114144123,341.4481569435228,385.7696303860674,563.2608889448355,536.9365212000946,358.2271709649018,360.476640375279,358.6898792307391,377.9587868275547,408.39313582027586,527.7230941971748,517.6671358981199,371.77525161328316,398.0845588971267,366.32395996835805,356.53323571414325,380.41809853026757,542.9584650267518,517.6942376410921,365.9940509415875,389.4886450729557,357.41846415432707,371.4786653720601,396.9295873261514,575.4540060232843,529.095238638243
CA_2,HOBBIES_2,46.73181797264096,47.3859734509766,45.70118400873647,50.65661610571346,49.322896092871005,56.169501255046605,57.74867187033954,49.6376575089046,52.22663555181491,52.703404336253186,53.373135039561156,53.373135039561156,55.350645246161555,55.24422485431987,50.563438718731746,53.443355638118774,53.28974026974225,53.90023468389261,53.65812502135384,55.44243354215725,54.78382336576494,52.96538526152553,52.977735605423234,52.46657492069341,53.93616900874513,53.72336139998206,55.35282569294436,55.52224049024444
CA_2,HOUSEHOLD_1,722.4747688687847,693.0471241837022,720.6214498582069,702.5256768605627,852.9482352329815,1285.9700322107428,1241.1239268669929,781.7972849877257,751.3427126894607,746.6395835554673,759.8726268758626,851.2511943184238,1326.8445578742117,1121.6776024930691,784.7626967739754,746.0126792898598,736.9068321093891,760.1436917094705,870.6337390525413,1296.635437787833,1217.2751020575247,817.9330546802076,791.9480223461184,778.3241181960645,794.6872800221158,902.5541687617526,1271.9806137012597,1228.0437222171254
